movie_index,title,user_index,user_id
1,First They Killed My Father,1,268758758
2,In the Heart of the Sea,1,268758758
3,Rogue One: A Star Wars Story,1,268758758
4,The Ballad of Buster Scruggs,1,268758758
5,The Colony,1,268758758
6,Arrival,2,733828603
7,Batman v Superman: Dawn of Justice,2,733828603
8,Contagion,2,733828603
9,The Titan,2,733828603
10,Fantastic Mr. Fox,3,1199635464
11,Hotel Transylvania 2,4,2375723689
12,Ice Age: The Meltdown,4,2375723689
13,Mac & Devin Go to High School,4,2375723689
14,Monster House,4,2375723689
15,Ajji,5,2830624829
16,Gurgaon,5,2830624829
17,Haram,5,2830624829
18,Rukh,5,2830624829
19,Annihilation,6,3338151716
20,Okja,6,3338151716
21,Secret in Their Eyes,6,3338151716
22,3 Days to Kill,7,3419672058
23,Lions for Lambs,7,3419672058
24,Mechanic: Resurrection,7,3419672058
25,Hacksaw Ridge,8,4143430933
26,Batman Ninja,9,4767113698
27,Miami Vice,9,4767113698
3,Rogue One: A Star Wars Story,9,4767113698
28,Bad Day for the Cut,10,5613739845
29,Cargo,10,5613739845
30,Maze,10,5613739845
31,Pain & Gain,10,5613739845
32,Prisoners,10,5613739845
33,The Siege of Jadotville,10,5613739845
34,10 Cloverfield Lane,11,7293505949
35,Meet Joe Black,11,7293505949
36,Ravenous,11,7293505949
37,The Peanuts Movie,11,7293505949
38,Zoolander 2,11,7293505949
39,Double Impact,12,9593736102
40,Just Go with It,12,9593736102
41,Live Free or Die Hard,12,9593736102
42,The Nice Guys,12,9593736102
43,Battleship,13,9885824228
44,Father of the Year,13,9885824228
45,Inglourious Basterds,13,9885824228
46,Manhunt,13,9885824228
47,Men in Black 3,13,9885824228
48,Misconduct,13,9885824228
49,TAU,13,9885824228
50,Teenage Mutant Ninja Turtles: Out of the Shadows,13,9885824228
51,The Legacy of a Whitetail Deer Hunter,13,9885824228
52,Kill Ratio,14,aaa12345
53,The Bank Job,14,aaa12345
54,The Line,14,aaa12345
55,Unlocked,14,aaa12345
56,Guardians of the Galaxy,15,00a096d3b5
57,Rush Hour 3,15,00a096d3b5
58,The Fast and the Furious,15,00a096d3b5
59,Hot Bot,16,01006862b9
60,Jack and Jill,16,01006862b9
61,2012,17,01e995e074
62,Charlie St. Cloud,17,01e995e074
63,Dazed and Confused,17,01e995e074
64,Monte Carlo,17,01e995e074
65,My Big Fat Greek Wedding 2,17,01e995e074
66,The Magdalene Sisters,17,01e995e074
67,The Pursuit of Happyness,17,01e995e074
68,Death Race,18,023eb3ab01
69,Enemy at the Gates,18,023eb3ab01
70,Goosebumps,18,023eb3ab01
71,Hellboy,18,023eb3ab01
