user_index,user_id,movie_index,title,rating
1,268758758,1,First They Killed My Father,8
1,268758758,2,In the Heart of the Sea,9
1,268758758,3,Rogue One: A Star Wars Story,5
1,268758758,4,The Ballad of Buster Scruggs,5
1,268758758,5,The Colony,9
2,733828603,6,Arrival,1
2,733828603,7,Batman v Superman: Dawn of Justice,6
2,733828603,8,Contagion,2
2,733828603,9,The Titan,10
3,1199635464,10,Fantastic Mr. Fox,6
4,2375723689,11,Hotel Transylvania 2,10
4,2375723689,12,Ice Age: The Meltdown,10
4,2375723689,13,Mac & Devin Go to High School,9
4,2375723689,14,Monster House,3
5,2830624829,15,Ajji,10
5,2830624829,16,Gurgaon,10
5,2830624829,17,Haram,1
5,2830624829,18,Rukh,10
6,3338151716,19,Annihilation,7
6,3338151716,20,Okja,5
6,3338151716,21,Secret in Their Eyes,4
7,3419672058,22,3 Days to Kill,9
7,3419672058,23,Lions for Lambs,10
7,3419672058,24,Mechanic: Resurrection,7
8,4143430933,25,Hacksaw Ridge,5
9,4767113698,26,Batman Ninja,3
9,4767113698,27,Miami Vice,3
9,4767113698,3,Rogue One: A Star Wars Story,1
10,5613739845,28,Bad Day for the Cut,10
10,5613739845,29,Cargo,3
10,5613739845,30,Maze,1
10,5613739845,31,Pain & Gain,1
10,5613739845,32,Prisoners,1
10,5613739845,33,The Siege of Jadotville,2
11,7293505949,34,10 Cloverfield Lane,10
11,7293505949,35,Meet Joe Black,9
11,7293505949,36,Ravenous,10
11,7293505949,37,The Peanuts Movie,1
11,7293505949,38,Zoolander 2,1
12,9593736102,39,Double Impact,10
12,9593736102,40,Just Go with It,10
12,9593736102,41,Live Free or Die Hard,5
12,9593736102,42,The Nice Guys,10
13,9885824228,43,Battleship,3
13,9885824228,44,Father of the Year,9
13,9885824228,45,Inglourious Basterds,6
13,9885824228,46,Manhunt,1
13,9885824228,47,Men in Black 3,6
13,9885824228,48,Misconduct,1
13,9885824228,49,TAU,9
13,9885824228,50,Teenage Mutant Ninja Turtles: Out of the Shadows,10
13,9885824228,51,The Legacy of a Whitetail Deer Hunter,9
14,aaa12345,52,Kill Ratio,2
14,aaa12345,53,The Bank Job,10
14,aaa12345,54,The Line,1
14,aaa12345,55,Unlocked,1
15,00a096d3b5,56,Guardians of the Galaxy,10
15,00a096d3b5,57,Rush Hour 3,10
15,00a096d3b5,58,The Fast and the Furious,2
16,01006862b9,59,Hot Bot,7
16,01006862b9,60,Jack and Jill,1
17,01e995e074,61,2012,2
17,01e995e074,62,Charlie St. Cloud,3
17,01e995e074,63,Dazed and Confused,9
17,01e995e074,64,Monte Carlo,5
17,01e995e074,65,My Big Fat Greek Wedding 2,1
17,01e995e074,66,The Magdalene Sisters,3
17,01e995e074,67,The Pursuit of Happyness,4
18,023eb3ab01,68,Death Race,10
18,023eb3ab01,69,Enemy at the Gates,7
18,023eb3ab01,70,Goosebumps,8
